"","X","link","title","response","domestic","domestic2","foreign","foreign2"
"313",313,"/movies/?id=chamber.htm","The Chamber","$22.5","$14.6","64.6%","$8.0","35.4%"
"314",314,"/movies/?id=dontbeamenacetosouthcentral.htm","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","$20.1","$20.1","100.0%","n/a","0.0%"
"315",315,"/movies/?id=maryreilly.htm","Mary Reilly","$12.4","$5.7","46.1%","$6.7","53.9%"
"316",316,"/movies/?id=hamlet96.htm","Hamlet (1996)","$4.7","$4.7","99.3%","$31.0k","0.7%"
"317",317,"/movies/?id=stealingbeauty.htm","Stealing Beauty","$4.7","$4.7","100.0%","n/a","0.0%"
"318",318,"/movies/?id=antoniasline.htm","Antonia's Line","$4.2","$4.2","99.5%","$21.0k","0.5%"
"319",319,"/movies/?id=kansascity.htm","Kansas City","$1.4","$1.4","100.0%","n/a","0.0%"
"320",320,"/movies/?id=badmoon.htm","Bad Moon","$1.1","$1.1","100.0%","n/a","0.0%"
"321",321,"/movies/?id=chungkingexpress.htm","Chungking Express","$600k","$600k","100.0%","n/a","0.0%"
"322",322,"/movies/?id=ofloveandshadows.htm","Of Love and Shadows","$19.7k","$19.7k","100.0%","n/a","0.0%"
"323",323,"/movies/?id=titanic.htm","Titanic","$2,128.9","$600.8","28.2%","$1,528.1","71.8%"
"324",324,"/movies/?id=jurassicpark2.htm","The Lost World: Jurassic Park","$618.6","$229.1","37.0%","$389.6","63.0%"
"325",325,"/movies/?id=meninblack.htm","Men in Black","$589.4","$250.7","42.5%","$338.7","57.5%"
"326",326,"/movies/?id=tomorrowneverdies.htm","Tomorrow Never Dies","$333.0","$125.3","37.6%","$207.7","62.4%"
"327",327,"/movies/?id=airforceone.htm","Air Force One","$315.2","$173.0","54.9%","$142.2","45.1%"
"328",328,"/movies/?id=asgoodasitgets.htm","As Good as It Gets","$314.2","$148.5","47.3%","$165.7","52.7%"
"329",329,"/movies/?id=liarliar.htm","Liar Liar","$302.7","$181.4","59.9%","$121.3","40.1%"
"330",330,"/movies/?id=mybestfriendswedding.htm","My Best Friend's Wedding","$299.3","$127.1","42.5%","$172.2","57.5%"
"331",331,"/movies/?id=fifthelement.htm","The Fifth Element","$263.9","$63.8","24.2%","$200.1","75.8%"
"332",332,"/movies/?id=fullmonty.htm","The Full Monty","$257.9","$46.0","17.8%","$212.0","82.2%"
"333",333,"/movies/?id=starwars4se.htm","Star Wars (Special Edition)","$256.9","$138.3","53.8%","$118.6","46.2%"
"334",334,"/movies/?id=hercules.htm","Hercules","$252.7","$99.1","39.2%","$153.6","60.8%"
"335",335,"/movies/?id=bean.htm","Bean","$251.2","$45.3","18.0%","$205.9","82.0%"
"336",336,"/movies/?id=faceoff.htm","Face/Off","$245.7","$112.3","45.7%","$133.4","54.3%"
"337",337,"/movies/?id=batmanrobin.htm","Batman and Robin","$238.2","$107.3","45.1%","$130.9","54.9%"
"338",338,"/movies/?id=goodwillhunting.htm","Good Will Hunting","$225.9","$138.4","61.3%","$87.5","38.7%"
"339",339,"/movies/?id=conair.htm","Con Air","$224.0","$101.1","45.1%","$122.9","54.9%"
"340",340,"/movies/?id=dantespeak.htm","Dante's Peak","$178.1","$67.1","37.7%","$111.0","62.3%"
"341",341,"/movies/?id=flubber.htm","Flubber","$178.0","$93.0","52.2%","$85.0","47.8%"
