"","X","link","title","response","domestic","domestic2","foreign","foreign2"
"1645",1645,"/movies/?id=son03.htm","The Son","$70.3k","$70.3k","100.0%","n/a","0.0%"
"1646",1646,"/movies/?id=pinjar.htm","Pinjar","$66.3k","$66.3k","100.0%","n/a","0.0%"
"1647",1647,"/movies/?id=carnage.htm","Carnage","$60.2k","$60.2k","100.0%","n/a","0.0%"
"1648",1648,"/movies/?id=preyforrockandroll.htm","Prey for Rock and Roll","$58.0k","$58.0k","100.0%","n/a","0.0%"
"1649",1649,"/movies/?id=onlythestrongsurvive.htm","Only the Strong Survive","$57.6k","$57.6k","100.0%","n/a","0.0%"
"1650",1650,"/movies/?id=embalmer.htm","The Embalmer","$56.9k","$56.9k","100.0%","n/a","0.0%"
"1651",1651,"/movies/?id=dormdaze.htm","Dorm Daze","$56.1k","$56.1k","100.0%","n/a","0.0%"
"1652",1652,"/movies/?id=hukkle.htm","Hukkle","$53.7k","$53.7k","100.0%","n/a","0.0%"
"1653",1653,"/movies/?id=zusandzo.htm","Zus & Zo","$49.5k","$49.5k","100.0%","n/a","0.0%"
"1654",1654,"/movies/?id=munnabhaimbbs.htm","Munnabhai Mbbs","$48.8k","$48.8k","100.0%","n/a","0.0%"
"1655",1655,"/movies/?id=suddenly.htm","Suddenly","$44.8k","$44.8k","100.0%","n/a","0.0%"
"1656",1656,"/movies/?id=lovethehardway.htm","Love the Hard Way","$44.4k","$44.4k","100.0%","n/a","0.0%"
"1657",1657,"/movies/?id=bollywoodhollywood03.htm","Bollywood/Hollywood (USA)","$38.0k","$38.0k","100.0%","n/a","0.0%"
"1658",1658,"/movies/?id=outofcontrol.htm","Out of Control","$36.5k","$36.5k","100.0%","n/a","0.0%"
"1659",1659,"/movies/?id=bolivia.htm","Bolivia","$33.1k","$33.1k","100.0%","n/a","0.0%"
"1660",1660,"/movies/?id=garagedays.htm","Garage Days","$32.5k","$32.5k","100.0%","n/a","0.0%"
"1661",1661,"/movies/?id=seaiswatching.htm","The Sea is Watching","$30.6k","$30.6k","100.0%","n/a","0.0%"
"1662",1662,"/movies/?id=hotel.htm","Hotel","$29.8k","$29.8k","100.0%","n/a","0.0%"
"1663",1663,"/movies/?id=snowboarder.htm","Snowboarder","$27.7k","$27.7k","100.0%","n/a","0.0%"
"1664",1664,"/movies/?id=fulltimekiller.htm","Fulltime Killer","$23.1k","$23.1k","100.0%","n/a","0.0%"
"1665",1665,"/movies/?id=japon.htm","Japon","$21.9k","$21.9k","100.0%","n/a","0.0%"
"1666",1666,"/movies/?id=venusboyz.htm","Venus Boyz","$18.5k","$18.5k","100.0%","n/a","0.0%"
"1667",1667,"/movies/?id=balseros.htm","Balseros","$16.8k","$16.8k","100.0%","n/a","0.0%"
"1668",1668,"/movies/?id=seaside.htm","Seaside","$15.3k","$15.3k","100.0%","n/a","0.0%"
"1669",1669,"/movies/?id=milleniummambo.htm","Millennium Mambo","$14.9k","$14.9k","100.0%","n/a","0.0%"
"1670",1670,"/movies/?id=dogdays.htm","Dog Days","$13.0k","$13.0k","100.0%","n/a","0.0%"
"1671",1671,"/movies/?id=unknownpleasures.htm","Unknown Pleasures","$12.2k","$12.2k","100.0%","n/a","0.0%"
"1672",1672,"/movies/?id=cameraobscura.htm","Camera Obscura","$11.4k","$11.4k","100.0%","n/a","0.0%"
"1673",1673,"/movies/?id=ranaswedding.htm","Rana's Wedding","$10.6k","$10.6k","100.0%","n/a","0.0%"
"1674",1674,"/movies/?id=kedma.htm","Kedma","$10.1k","$10.1k","100.0%","n/a","0.0%"
"1675",1675,"/movies/?id=elbonaerense.htm","El Bonaerense","$9.5k","$9.5k","100.0%","n/a","0.0%"
"1676",1676,"/movies/?id=scorched.htm","Scorched","$8.0k","$8.0k","100.0%","n/a","0.0%"
"1677",1677,"/movies/?id=bluegatecrossing.htm","Blue Gate Crossing","$6.2k","$6.2k","100.0%","n/a","0.0%"
"1678",1678,"/movies/?id=calling.htm","The Calling","$6.1k","$6.1k","100.0%","n/a","0.0%"
"1679",1679,"/movies/?id=gaudiafternoon.htm","Gaudi Afternoon","$5.9k","$5.9k","100.0%","n/a","0.0%"
"1680",1680,"/movies/?id=navigators.htm","The Navigators","$3.1k","$3.1k","100.0%","n/a","0.0%"
"1681",1681,"/movies/?id=bigshotsfuneral.htm","Big Shot's Funeral","$0.8k","$0.8k","100.0%","n/a","0.0%"
"1682",1682,"/movies/?id=shrek2.htm","Shrek 2","$919.8","$441.2","48.0%","$478.6","52.0%"
"1683",1683,"/movies/?id=harrypotter3.htm","Harry Potter and the Prisoner of Azkaban","$796.7","$249.5","31.3%","$547.1","68.7%"
"1684",1684,"/movies/?id=spiderman2.htm","Spider-Man 2","$783.8","$373.6","47.7%","$410.2","52.3%"
"1685",1685,"/movies/?id=incredibles.htm","The Incredibles","$631.4","$261.4","41.4%","$370.0","58.6%"
"1686",1686,"/movies/?id=passionofthechrist.htm","The Passion of the Christ","$611.4","$370.3","60.6%","$241.1","39.4%"
"1687",1687,"/movies/?id=dayaftertomorrow.htm","The Day After Tomorrow","$544.3","$186.7","34.3%","$357.5","65.7%"
"1688",1688,"/movies/?id=meetthefockers.htm","Meet the Fockers","$516.6","$279.3","54.1%","$237.4","45.9%"
"1689",1689,"/movies/?id=troy.htm","Troy","$497.4","$133.4","26.8%","$364.0","73.2%"
"1690",1690,"/movies/?id=sharktale.htm","Shark Tale","$367.3","$160.9","43.8%","$206.4","56.2%"
"1691",1691,"/movies/?id=oceanstwelve.htm","Ocean's Twelve","$362.7","$125.5","34.6%","$237.2","65.4%"
"1692",1692,"/movies/?id=nationaltreasure.htm","National Treasure","$347.5","$173.0","49.8%","$174.5","50.2%"
"1693",1693,"/movies/?id=irobot.htm","I, Robot","$347.2","$144.8","41.7%","$202.4","58.3%"
"1694",1694,"/movies/?id=vanhelsing.htm","Van Helsing","$300.3","$120.2","40.0%","$180.1","60.0%"
"1695",1695,"/movies/?id=bournesupremacy.htm","The Bourne Supremacy","$288.5","$176.2","61.1%","$112.3","38.9%"
"1696",1696,"/movies/?id=polarexpress.htm","The Polar Express","$286.9","$162.8","56.7%","$124.1","43.3%"
"1697",1697,"/movies/?id=bridgetjones2.htm","Bridget Jones: The Edge of Reason","$262.5","$40.2","15.3%","$222.3","84.7%"
"1698",1698,"/movies/?id=village.htm","The Village","$256.7","$114.2","44.5%","$142.5","55.5%"
"1699",1699,"/movies/?id=fahrenheit911.htm","Fahrenheit 9/11","$222.4","$119.2","53.6%","$103.3","46.4%"
"1700",1700,"/movies/?id=terminal.htm","The Terminal","$219.4","$77.9","35.5%","$141.5","64.5%"
"1701",1701,"/movies/?id=collateral.htm","Collateral","$217.8","$101.0","46.4%","$116.8","53.6%"
"1702",1702,"/movies/?id=milliondollarbaby.htm","Million Dollar Baby","$216.8","$100.5","46.4%","$116.3","53.6%"
"1703",1703,"/movies/?id=aviator.htm","The Aviator","$213.7","$102.6","48.0%","$111.1","52.0%"
"1704",1704,"/movies/?id=lemonysnicket.htm","Lemony Snicket's A Series of Unfortunate Events","$209.1","$118.6","56.7%","$90.4","43.3%"
"1705",1705,"/movies/?id=kingarthur.htm","King Arthur","$203.6","$51.9","25.5%","$151.7","74.5%"
"1706",1706,"/movies/?id=garfield.htm","Garfield: The Movie","$200.8","$75.4","37.5%","$125.4","62.5%"
"1707",1707,"/movies/?id=50firstdates.htm","50 First Dates","$196.5","$120.9","61.5%","$75.6","38.5%"
"1708",1708,"/movies/?id=grudge.htm","The Grudge","$187.3","$110.4","58.9%","$76.9","41.1%"
"1709",1709,"/movies/?id=scoobydoo2.htm","Scooby-Doo 2: Monsters Unleashed","$181.5","$84.2","46.4%","$97.3","53.6%"
"1710",1710,"/movies/?id=hero02.htm","Hero","$177.4","$53.7","30.3%","$123.7","69.7%"
"1711",1711,"/movies/?id=avp.htm","Alien Vs. Predator","$172.5","$80.3","46.5%","$92.3","53.5%"
"1712",1712,"/movies/?id=alongcamepolly.htm","Along Came Polly","$172.0","$88.1","51.2%","$83.9","48.8%"
"1713",1713,"/movies/?id=starskyandhutch.htm","Starsky and Hutch","$170.3","$88.2","51.8%","$82.0","48.2%"
"1714",1714,"/movies/?id=shallwedance.htm","Shall We Dance","$170.1","$57.9","34.0%","$112.2","66.0%"
"1715",1715,"/movies/?id=dodgeball.htm","DodgeBall: A True Underdog Story","$167.7","$114.3","68.2%","$53.4","31.8%"
"1716",1716,"/movies/?id=alexander.htm","Alexander","$167.3","$34.3","20.5%","$133.0","79.5%"
"1717",1717,"/movies/?id=phantomoftheopera.htm","The Phantom of the Opera","$154.6","$51.3","33.2%","$103.4","66.8%"
"1718",1718,"/movies/?id=killbill2.htm","Kill Bill Vol. 2","$152.2","$66.2","43.5%","$86.0","56.5%"
"1719",1719,"/movies/?id=spongebob.htm","The SpongeBob SquarePants Movie","$140.2","$85.4","60.9%","$54.7","39.1%"
"1720",1720,"/movies/?id=princessdiaries2.htm","The Princess Diaries 2: Royal Engagement","$134.7","$95.2","70.6%","$39.6","29.4%"
"1721",1721,"/movies/?id=manonfire.htm","Man on Fire","$130.3","$77.9","59.8%","$52.4","40.2%"
"1722",1722,"/movies/?id=residentevilapocalypse.htm","Resident Evil: Apocalypse","$129.4","$51.2","39.6%","$78.2","60.4%"
"1723",1723,"/movies/?id=meangirls.htm","Mean Girls","$129.0","$86.1","66.7%","$43.0","33.3%"
"1724",1724,"/movies/?id=blade3.htm","Blade: Trinity","$128.9","$52.4","40.7%","$76.5","59.3%"
"1725",1725,"/movies/?id=ray.htm","Ray","$124.7","$75.3","60.4%","$49.4","39.6%"
"1726",1726,"/movies/?id=forgotten.htm","The Forgotten","$117.6","$67.1","57.1%","$50.5","42.9%"
"1727",1727,"/movies/?id=findingneverland.htm","Finding Neverland","$116.8","$51.7","44.3%","$65.1","55.7%"
"1728",1728,"/movies/?id=chroniclesofriddick.htm","The Chronicles of Riddick","$115.8","$57.8","49.9%","$58.0","50.1%"
"1729",1729,"/movies/?id=notebook.htm","The Notebook","$115.6","$81.0","70.1%","$34.6","29.9%"
"1730",1730,"/movies/?id=closer.htm","Closer","$115.5","$34.0","29.4%","$81.5","70.6%"
"1731",1731,"/movies/?id=whitechicks.htm","White Chicks","$113.1","$70.8","62.6%","$42.3","37.4%"
"1732",1732,"/movies/?id=sideways.htm","Sideways","$109.7","$71.5","65.2%","$38.2","34.8%"
"1733",1733,"/movies/?id=hidalgo.htm","Hidalgo","$108.1","$67.3","62.3%","$40.8","37.7%"
"1734",1734,"/movies/?id=homeontherange.htm","Home on the Range","$104.0","$50.0","48.1%","$53.9","51.9%"
"1735",1735,"/movies/?id=saw.htm","Saw","$103.1","$55.2","53.5%","$47.9","46.5%"
"1736",1736,"/movies/?id=dawnofthedead.htm","Dawn of the Dead","$102.4","$59.0","57.7%","$43.3","42.3%"
"1737",1737,"/movies/?id=stepfordwives.htm","The Stepford Wives","$102.0","$59.5","58.3%","$42.5","41.7%"
"1738",1738,"/movies/?id=ladder49.htm","Ladder 49","$100.6","$74.5","74.1%","$26.0","25.9%"
"1739",1739,"/movies/?id=hellboy.htm","Hellboy","$99.3","$59.6","60.0%","$39.7","40.0%"
"1740",1740,"/movies/?id=christmaswiththekranks.htm","Christmas with the Kranks","$96.6","$73.8","76.4%","$22.8","23.6%"
"1741",1741,"/movies/?id=13goingon30.htm","13 Going on 30","$96.5","$57.2","59.3%","$39.2","40.7%"
"1742",1742,"/movies/?id=manchuriancandidate.htm","The Manchurian Candidate","$96.1","$66.0","68.6%","$30.2","31.4%"
"1743",1743,"/movies/?id=butterflyeffect.htm","The Butterfly Effect","$96.1","$57.9","60.3%","$38.1","39.7%"
"1744",1744,"/movies/?id=secretwindow.htm","Secret Window","$92.9","$48.0","51.7%","$44.9","48.3%"
"1745",1745,"/movies/?id=houseofflyingdaggers.htm","House of Flying Daggers","$92.9","$11.1","11.9%","$81.8","88.1%"
"1746",1746,"/movies/?id=anchorman.htm","Anchorman: The Legend of Ron Burgundy","$90.6","$85.3","94.2%","$5.3","5.8%"
"1747",1747,"/movies/?id=catwoman.htm","Catwoman","$82.1","$40.2","49.0%","$41.9","51.0%"
"1748",1748,"/movies/?id=goodbyelenin.htm","Good Bye, Lenin!","$79.4","$4.1","5.1%","$75.3","94.9%"
"1749",1749,"/movies/?id=exorcist4.htm","Exorcist: The Beginning","$78.0","$41.8","53.6%","$36.2","46.4%"
"1750",1750,"/movies/?id=ladykillers.htm","The Ladykillers","$76.7","$39.8","51.9%","$36.9","48.1%"
"1751",1751,"/movies/?id=eternalsunshine.htm","Eternal Sunshine of the Spotless Mind","$72.3","$34.4","47.6%","$37.9","52.4%"
"1752",1752,"/movies/?id=aroundtheworldin80days.htm","Around the World in 80 Days","$72.2","$24.0","33.3%","$48.2","66.7%"
"1753",1753,"/movies/?id=anacondas.htm","Anacondas: The Hunt for the Blood Orchid","$71.0","$32.2","45.4%","$38.8","54.6%"
"1754",1754,"/movies/?id=verylongengagement.htm","A Very Long Engagement","$70.1","$6.5","9.3%","$63.6","90.7%"
"1755",1755,"/movies/?id=cinderellastory.htm","A Cinderella Story","$70.1","$51.4","73.4%","$18.6","26.6%"
"1756",1756,"/movies/?id=taegukgi.htm","Tae Guk Gi: The Brotherhood of War","$69.8","$1.1","1.6%","$68.7","98.4%"
"1757",1757,"/movies/?id=withoutapaddle.htm","Without a Paddle","$69.6","$58.2","83.5%","$11.5","16.5%"
"1758",1758,"/movies/?id=taxi.htm","Taxi","$68.9","$36.6","53.1%","$32.3","46.9%"
"1759",1759,"/movies/?id=barbershop2.htm","Barbershop 2: Back in Business","$66.0","$65.1","98.7%","$860k","1.3%"
"1760",1760,"/movies/?id=takinglives.htm","Taking Lives","$65.5","$32.7","49.9%","$32.8","50.1%"
"1761",1761,"/movies/?id=miracle04.htm","Miracle","$64.4","$64.4","99.9%","$67.6k","0.1%"
"1762",1762,"/movies/?id=twobrothers.htm","Two Brothers","$62.2","$19.2","30.8%","$43.0","69.2%"
"1763",1763,"/movies/?id=fridaynightlights.htm","Friday Night Lights","$62.0","$61.3","98.9%","$695k","1.1%"
"1764",1764,"/movies/?id=afterthesunset.htm","After the Sunset","$61.3","$28.3","46.2%","$33.0","53.8%"
"1765",1765,"/movies/?id=ingoodcompany.htm","In Good Company","$61.3","$45.8","74.7%","$15.5","25.3%"
"1766",1766,"/movies/?id=skycaptain.htm","Sky Captain and the World of Tomorrow","$58.0","$37.8","65.2%","$20.2","34.8%"
"1767",1767,"/movies/?id=motorcyclediaries.htm","The Motorcycle Diaries","$57.7","$16.8","29.1%","$40.9","70.9%"
"1768",1768,"/movies/?id=walkingtall.htm","Walking Tall","$57.2","$46.4","81.2%","$10.8","18.8%"
"1769",1769,"/movies/?id=cellular.htm","Cellular","$56.4","$32.0","56.7%","$24.4","43.3%"
"1770",1770,"/movies/?id=spanglish.htm","Spanglish","$55.0","$42.7","77.6%","$12.3","22.4%"
"1771",1771,"/movies/?id=punisher.htm","The Punisher","$54.7","$33.8","61.8%","$20.9","38.2%"
"1772",1772,"/movies/?id=openwater.htm","Open Water","$54.7","$30.6","56.0%","$24.1","44.0%"
"1773",1773,"/movies/?id=teamamerica.htm","Team America: World Police","$50.9","$32.8","64.4%","$18.1","35.6%"
"1774",1774,"/movies/?id=raisinghelen.htm","Raising Helen","$49.7","$37.5","75.4%","$12.2","24.6%"
"1775",1775,"/movies/?id=yougotserved.htm","You Got Served","$48.6","$40.4","83.0%","$8.3","17.0%"
"1776",1776,"/movies/?id=fatalbert.htm","Fat Albert","$48.6","$48.1","99.1%","$435k","0.9%"
"1777",1777,"/movies/?id=torque.htm","Torque","$46.5","$21.2","45.6%","$25.3","54.4%"
"1778",1778,"/movies/?id=napoleondynamite.htm","Napoleon Dynamite","$46.1","$44.5","96.6%","$1.6","3.4%"
"1779",1779,"/movies/?id=shaolinsoccer.htm","Shaolin Soccer","$42.8","$490k","1.1%","$42.3","98.9%"
"1780",1780,"/movies/?id=wimbledon.htm","Wimbledon","$41.5","$17.0","41.0%","$24.5","59.0%"
"1781",1781,"/movies/?id=twisted.htm","Twisted","$41.0","$25.2","61.5%","$15.8","38.5%"
"1782",1782,"/movies/?id=badeducation.htm","Bad Education","$40.3","$5.2","12.9%","$35.1","87.1%"
"1783",1783,"/movies/?id=lesrivierespourpres2.htm","Les Rivieres Pourpres 2 (Crimson Rivers 2)","$40.2","$152k","0.4%","$40.0","99.6%"
"1784",1784,"/movies/?id=seainside.htm","The Sea Inside","$38.5","$2.1","5.5%","$36.4","94.5%"
"1785",1785,"/movies/?id=princeandme.htm","The Prince and Me","$37.7","$28.2","74.8%","$9.5","25.2%"
"1786",1786,"/movies/?id=jerseygirl.htm","Jersey Girl","$36.1","$25.3","70.0%","$10.8","30.0%"
"1787",1787,"/movies/?id=gardenstate.htm","Garden State","$35.8","$26.8","74.8%","$9.0","25.2%"
"1788",1788,"/movies/?id=alfie.htm","Alfie","$35.2","$13.4","38.1%","$21.8","61.9%"
"1789",1789,"/movies/?id=lifeaquatic.htm","The Life Aquatic with Steve Zissou","$34.8","$24.0","69.0%","$10.8","31.0%"
"1790",1790,"/movies/?id=flightofthephoenix.htm","Flight of the Phoenix","$34.6","$21.0","60.7%","$13.6","39.3%"
"1791",1791,"/movies/?id=darkness.htm","Darkness","$34.4","$22.2","64.4%","$12.2","35.6%"
"1792",1792,"/movies/?id=hotelrwanda.htm","Hotel Rwanda","$33.9","$23.5","69.4%","$10.4","30.6%"
"1793",1793,"/movies/?id=confessionsofateenagedramaqueen.htm","Confessions of a Teenage Drama Queen","$33.1","$29.3","88.7%","$3.7","11.3%"
"1794",1794,"/movies/?id=zatoichi.htm","Zatoichi: The Blind Swordsman","$32.0","$863k","2.7%","$31.2","97.3%"
"1795",1795,"/movies/?id=johnsonfamilyvacation.htm","Johnson Family Vacation","$31.5","$31.2","99.2%","$259k","0.8%"
"1796",1796,"/movies/?id=girlnextdoor.htm","The Girl Next Door","$30.4","$14.6","48.0%","$15.8","52.0%"
"1797",1797,"/movies/?id=godsend.htm","Godsend","$30.1","$14.4","47.8%","$15.7","52.2%"
"1798",1798,"/movies/?id=shaunofthedead.htm","Shaun of the Dead","$30.0","$13.5","45.1%","$16.5","54.9%"
"1799",1799,"/movies/?id=lawsofattraction.htm","Laws of Attraction","$30.0","$17.9","59.5%","$12.1","40.5%"
"1800",1800,"/movies/?id=yugioh.htm","Yu-Gi-Oh! The Movie","$29.2","$19.8","67.8%","$9.4","32.2%"
"1801",1801,"/movies/?id=agentcodybanks2.htm","Agent Cody Banks 2: Destination London","$28.8","$23.6","82.0%","$5.2","18.0%"
"1802",1802,"/movies/?id=thunderbirds.htm","Thunderbirds","$28.3","$6.9","24.3%","$21.4","75.7%"
"1803",1803,"/movies/?id=taistoi.htm","Tais-toi","$27.7","$313k","1.1%","$27.4","98.9%"
"1804",1804,"/movies/?id=dirtydancing2.htm","Dirty Dancing: Havana Nights","$27.7","$14.2","51.2%","$13.5","48.8%"
"1805",1805,"/movies/?id=ellaenchanted.htm","Ella Enchanted","$27.4","$22.9","83.7%","$4.5","16.3%"
"1806",1806,"/movies/?id=wholetenyards.htm","The Whole Ten Yards","$26.2","$16.3","62.4%","$9.8","37.6%"
"1807",1807,"/movies/?id=alamo.htm","The Alamo (2004)","$25.8","$22.4","86.8%","$3.4","13.2%"
"1808",1808,"/movies/?id=seedofchucky.htm","Seed of Chucky","$24.8","$17.1","68.8%","$7.7","31.2%"
"1809",1809,"/movies/?id=haroldandkumar.htm","Harold and Kumar Go to White Castle","$23.9","$18.3","76.2%","$5.7","23.8%"
"1810",1810,"/movies/?id=birth.htm","Birth","$23.9","$5.1","21.3%","$18.8","78.7%"
"1811",1811,"/movies/?id=nascar3dimax.htm","NASCAR 3D: The IMAX Experience (IMAX)","$22.2","$21.6","97.0%","$665k","3.0%"
"1812",1812,"/movies/?id=littleblackbook.htm","Little Black Book","$22.0","$20.7","93.9%","$1.3","6.1%"
"1813",1813,"/movies/?id=mr3000.htm","Mr. 3000","$21.8","$21.8","99.9%","$28.2k","0.1%"
"1814",1814,"/movies/?id=wickerpark.htm","Wicker Park","$21.6","$13.0","60.3%","$8.6","39.7%"
"1815",1815,"/movies/?id=merchantofvenice.htm","William Shakespeare's The Merchant of Venice","$21.4","$3.8","17.6%","$17.7","82.4%"
"1816",1816,"/movies/?id=newyorkminute.htm","New York Minute","$21.3","$14.1","66.1%","$7.2","33.9%"
"1817",1817,"/movies/?id=winadatewithtadhamilton.htm","Win a Date with Tad Hamilton!","$21.3","$17.1","80.2%","$4.2","19.8%"
"1818",1818,"/movies/?id=eurotrip.htm","Eurotrip","$20.8","$17.8","85.5%","$3.0","14.5%"
"1819",1819,"/movies/?id=supersizeme.htm","Super Size Me","$20.6","$11.5","55.9%","$9.1","44.1%"
"1820",1820,"/movies/?id=ihearthuckabees.htm","I Heart Huckabees","$20.1","$12.8","63.7%","$7.3","36.3%"
"1821",1821,"/movies/?id=vanityfair.htm","Vanity Fair","$19.5","$16.1","82.9%","$3.3","17.1%"
"1822",1822,"/movies/?id=delovely.htm","De-Lovely","$18.6","$13.5","72.3%","$5.2","27.7%"
"1823",1823,"/movies/?id=mybabysdaddy.htm","My Baby's Daddy","$18.5","$17.7","95.6%","$821k","4.4%"
"1824",1824,"/movies/?id=catchthatkid.htm","Catch That Kid","$16.9","$16.7","98.7%","$227k","1.3%"
"1825",1825,"/movies/?id=kinsey.htm","Kinsey","$16.9","$10.3","60.6%","$6.7","39.4%"
"1826",1826,"/movies/?id=paparazzi.htm","Paparazzi","$16.8","$15.7","93.6%","$1.1","6.4%"
"1827",1827,"/movies/?id=dogville.htm","Dogville","$16.7","$1.5","9.2%","$15.1","90.8%"
"1828",1828,"/movies/?id=whatthe.htm","What the #$*! Do We Know?!","$16.0","$10.9","68.4%","$5.1","31.6%"
"1829",1829,"/movies/?id=beforesunset.htm","Before Sunset","$16.0","$5.8","36.4%","$10.2","63.6%"
"1830",1830,"/movies/?id=facingwindows.htm","Facing Windows","$15.5","$543k","3.5%","$15.0","96.5%"
"1831",1831,"/movies/?id=zelary.htm","Zelary","$15.5","$330k","2.1%","$15.1","97.9%"
"1832",1832,"/movies/?id=dreamers.htm","The Dreamers","$15.1","$2.5","16.7%","$12.6","83.3%"
"1833",1833,"/movies/?id=survivingchristmas.htm","Surviving Christmas","$15.1","$11.7","77.1%","$3.5","22.9%"
"1834",1834,"/movies/?id=raiseyourvoice.htm","Raise Your Voice","$14.9","$10.4","70.0%","$4.5","30.0%"
"1835",1835,"/movies/?id=soulplane.htm","Soul Plane","$14.8","$14.2","95.7%","$632k","4.3%"
"1836",1836,"/movies/?id=welcometomooseport.htm","Welcome to Mooseport","$14.6","$14.5","99.0%","$144k","1.0%"
"1837",1837,"/movies/?id=envy.htm","Envy","$14.6","$13.6","93.0%","$1.0","7.0%"
"1838",1838,"/movies/?id=beingjulia.htm","Being Julia","$14.3","$7.7","54.0%","$6.6","46.0%"
"1839",1839,"/movies/?id=touchingthevoid.htm","Touching the Void","$13.9","$4.6","33.1%","$9.3","66.9%"
"1840",1840,"/movies/?id=rrrrrrr.htm","RRRrrrr!!!","$13.3","$54.4k","0.4%","$13.3","99.6%"
"1841",1841,"/movies/?id=veradrake.htm","Vera Drake","$13.3","$3.8","28.5%","$9.5","71.5%"
"1842",1842,"/movies/?id=remembermemylove.htm","Remember Me, My Love","$12.7","$228k","1.8%","$12.4","98.2%"
"1843",1843,"/movies/?id=mariafullofgrace.htm","Maria Full of Grace","$12.6","$6.5","51.8%","$6.1","48.2%"
"1844",1844,"/movies/?id=breakinalltherules.htm","Breakin' All the Rules","$12.5","$12.3","97.8%","$280k","2.2%"
"1845",1845,"/movies/?id=clearing.htm","The Clearing","$12.5","$5.8","46.0%","$6.8","54.0%"
"1846",1846,"/movies/?id=chasingliberty.htm","Chasing Liberty","$12.3","$12.2","99.0%","$118k","1.0%"
"1847",1847,"/movies/?id=cookout.htm","The Cookout","$12.0","$11.8","98.4%","$195k","1.6%"
"1848",1848,"/movies/?id=suspectzero.htm","Suspect Zero","$11.4","$8.7","76.4%","$2.7","23.6%"
"1849",1849,"/movies/?id=connieandcarla.htm","Connie and Carla","$11.3","$8.1","71.3%","$3.3","28.7%"
"1850",1850,"/movies/?id=perfectscore.htm","The Perfect Score","$10.9","$10.4","95.5%","$486k","4.5%"
"1851",1851,"/movies/?id=mainhoonna.htm","Main Hoon Na","$10.8","$1.7","16.1%","$9.1","83.9%"
"1852",1852,"/movies/?id=carandiru.htm","Carandiru","$10.8","$216k","2.0%","$10.6","98.0%"
"1853",1853,"/movies/?id=firstdaughter.htm","First Daughter","$10.6","$9.1","85.5%","$1.5","14.5%"
"1854",1854,"/movies/?id=saved.htm","Saved!","$10.2","$8.9","88.0%","$1.2","12.0%"
"1855",1855,"/movies/?id=sleepover.htm","Sleepover","$10.1","$9.4","93.0%","$713k","7.0%"
"1856",1856,"/movies/?id=daywithoutamexican.htm","A Day Without a Mexican","$10.1","$4.2","41.6%","$5.9","58.4%"
"1857",1857,"/movies/?id=ghostintheshell2.htm","Ghost in the Shell 2: Innocence","$9.8","$1.0","10.7%","$8.7","89.3%"
"1858",1858,"/movies/?id=springsummerfallwinterandspring.htm","Spring, Summer, Fall, Winter... and Spring","$9.5","$2.4","25.0%","$7.1","75.0%"
"1859",1859,"/movies/?id=babygeniuses2.htm","Super Babies: Baby Geniuses 2","$9.4","$9.2","97.6%","$229k","2.4%"
"1860",1860,"/movies/?id=storyofweepingcamel.htm","The Story of the Weeping Camel","$9.3","$1.8","18.9%","$7.6","81.1%"
"1861",1861,"/movies/?id=bonvoyage.htm","Bon Voyage","$8.9","$2.4","26.5%","$6.5","73.5%"
"1862",1862,"/movies/?id=infernalaffairs.htm","Infernal Affairs","$8.7","$170k","1.9%","$8.5","98.1%"
"1863",1863,"/movies/?id=lovemeifyoudare.htm","Love Me If You Dare","$8.6","$554k","6.5%","$8.0","93.5%"
"1864",1864,"/movies/?id=beyondthesea.htm","Beyond the Sea","$8.4","$6.3","74.8%","$2.1","25.2%"
"1865",1865,"/movies/?id=machinist.htm","The Machinist","$8.2","$1.1","13.2%","$7.1","86.8%"
"1866",1866,"/movies/?id=spartan.htm","Spartan","$8.1","$4.4","54.7%","$3.7","45.3%"
"1867",1867,"/movies/?id=coffeeandcigarettes.htm","Coffee and Cigarettes","$7.9","$2.2","27.7%","$5.7","72.3%"
"1868",1868,"/movies/?id=clubdread.htm","Club Dread","$7.6","$5.0","66.1%","$2.6","33.9%"
"1869",1869,"/movies/?id=imnotscared.htm","I'm Not Scared","$7.4","$1.6","22.0%","$5.7","78.0%"
"1870",1870,"/movies/?id=twilightsamurai.htm","Twilight Samurai","$7.3","$560k","7.6%","$6.8","92.4%"
"1871",1871,"/movies/?id=intimatestrangers.htm","Intimate Strangers","$7.1","$2.1","29.6%","$5.0","70.4%"
"1872",1872,"/movies/?id=womanthouartloosed.htm","Woman, Thou Art Loosed","$6.9","$6.9","100.0%","n/a","0.0%"
"1873",1873,"/movies/?id=bigbounce.htm","The Big Bounce","$6.8","$6.5","95.3%","$319k","4.7%"
"1874",1874,"/movies/?id=doorinthefloor.htm","The Door in the Floor","$6.7","$3.9","57.4%","$2.9","42.6%"
"1875",1875,"/movies/?id=oasis.htm","Oasis","$6.7","$10.3k","0.2%","$6.7","99.8%"
"1876",1876,"/movies/?id=againsttheropes.htm","Against the Ropes","$6.6","$5.9","89.0%","$730k","11.0%"
"1877",1877,"/movies/?id=nedkelly.htm","Ned Kelly","$6.6","$87.0k","1.3%","$6.5","98.7%"
"1878",1878,"/movies/?id=fondkiss.htm","A Fond Kiss","$6.5","$30.1k","0.5%","$6.5","99.5%"
